SKU,Price,Supplier,Discontinued,Stock Status,product_specifications
BSN 101321,$41.75,Best Buy,No,Long Lead Time,"{""Brand"": ""JOBST"", ""Color"": ""Beige"", ""Compression"": ""20-30 mmHg"", ""Gender"": ""Unisex"", ""Length Type"": ""Regular"", ""Product Type"": ""Hand & Wrist Wear"", ""Quantity"": ""1 Pair"", ""Size"": ""Large""}"
BSN 101325,$40.14,Best Buy,No,Long Lead Time,"{""Brand"": ""JOBST"", ""Color"": ""Beige"", ""Compression"": ""15-20 mmHg"", ""Gender"": ""Unisex"", ""Length Type"": ""Regular"", ""Product Type"": ""Hand & Wrist Wear"", ""Quantity"": ""1 Pair"", ""Size"": ""Small""}"
BSN 101326,$40.14,Best Buy,No,Long Lead Time,"{""Brand"": ""JOBST"", ""Color"": ""Beige"", ""Compression"": ""15-20 mmHg"", ""Gender"": ""Unisex"", ""Length Type"": ""Regular"", ""Product Type"": ""Hand & Wrist Wear"", ""Quantity"": ""1 Pair"", ""Size"": ""Medium""}"
BSN 101327,$40.14,Best Buy,No,Long Lead Time,"{""Brand"": ""JOBST"", ""Color"": ""Beige"", ""Compression"": ""15-20 mmHg"", ""Gender"": ""Unisex"", ""Length Type"": ""Regular"", ""Product Type"": ""Hand & Wrist Wear"", ""Quantity"": ""1 Pair"", ""Size"": ""Large""}"
BSN 101328,$41.49,Best Buy,No,In Stock,"{""Brand"": ""JOBST"", ""Color"": ""Beige"", ""Compression"": ""15-20 mmHg"", ""Gender"": ""Unisex"", ""Length Type"": ""Long"", ""Product Type"": ""Arm Wear"", ""Quantity"": ""1 Pair"", ""Size"": ""Small""}"
BSN 101329,$41.49,Best Buy,No,In Stock,"{""Brand"": ""JOBST"", ""Color"": ""Beige"", ""Compression"": ""15-20 mmHg"", ""Gender"": ""Unisex"", ""Length Type"": ""Long"", ""Product Type"": ""Arm Wear"", ""Quantity"": ""1 Pair"", ""Size"": ""Medium""}"
BSN 101330,$41.49,Best Buy,No,Long Lead Time,"{""Brand"": ""JOBST"", ""Color"": ""Beige"", ""Compression"": ""15-20 mmHg"", ""Gender"": ""Unisex"", ""Length Type"": ""Long"", ""Product Type"": ""Arm Wear"", ""Quantity"": ""1 Pair"", ""Size"": ""Large""}"
BSN 101331,$57.46,Best Buy,No,Long Lead Time,"{""Brand"": ""JOBST"", ""Band Type"": ""Silicone Dot Band"", ""Color"": ""Beige"", ""Compression"": ""15-20 mmHg"", ""Gender"": ""Unisex"", ""Length Type"": ""Long"", ""Product Type"": ""Arm Wear"", ""Quantity"": ""1 Pair"", ""Size"": ""Small""}"
BSN 101332,$57.46,Best Buy,No,Long Lead Time,"{""Brand"": ""JOBST"", ""Band Type"": ""Silicone Dot Band"", ""Color"": ""Beige"", ""Compression"": ""15-20 mmHg"", ""Gender"": ""Unisex"", ""Length Type"": ""Long"", ""Product Type"": ""Arm Wear"", ""Quantity"": ""1 Pair"", ""Size"": ""Medium""}"
BSN 101333,$57.46,Best Buy,No,Long Lead Time,"{""Brand"": ""JOBST"", ""Band Type"": ""Silicone Dot Band"", ""Color"": ""Beige"", ""Compression"": ""15-20 mmHg"", ""Gender"": ""Unisex"", ""Length Type"": ""Long"", ""Product Type"": ""Arm Wear"", ""Quantity"": ""1 Pair"", ""Size"": ""Large""}"
BSN 101334,$59.76,Best Buy,No,Long Lead Time,"{""Brand"": ""JOBST"", ""Band Type"": ""Silicone Dot Band"", ""Color"": ""Beige"", ""Compression"": ""20-30 mmHg"", ""Gender"": ""Unisex"", ""Length Type"": ""Long"", ""Product Type"": ""Arm Wear"", ""Quantity"": ""1 Pair"", ""Size"": ""Small""}"
BSN 101335,$59.76,Best Buy,No,In Stock,"{""Brand"": ""JOBST"", ""Band Type"": ""Silicone Dot Band"", ""Color"": ""Beige"", ""Compression"": ""20-30 mmHg"", ""Gender"": ""Unisex"", ""Length Type"": ""Long"", ""Product Type"": ""Arm Wear"", ""Quantity"": ""1 Pair"", ""Size"": ""Medium""}"
BSN 101336,$59.76,Best Buy,No,Long Lead Time,"{""Brand"": ""JOBST"", ""Band Type"": ""Silicone Dot Band"", ""Color"": ""Beige"", ""Compression"": ""20-30 mmHg"", ""Gender"": ""Unisex"", ""Length Type"": ""Long"", ""Product Type"": ""Arm Wear"", ""Quantity"": ""1 Each"", ""Size"": ""Large""}"
BSN 101340,$43.15,Best Buy,No,Long Lead Time,"{""Brand"": ""JOBST"", ""Color"": ""Black"", ""Compression"": ""20-30 mmHg"", ""Gender"": ""Unisex"", ""Length"": ""4.88\"""", ""Length Type"": ""Long"", ""Product Type"": ""Arm Wear"", ""Quantity"": ""1 Each"", ""Size"": ""Small""}"
